energy_eV,sample_background_counts_fit,ob_background_counts_fit
0.253207631273,447.712950704,493.644049704
0.254180263857,449.077887498,494.942011975
0.25515663256,450.452959565,496.249622641
0.256136751735,451.838182423,497.566893982
0.257120635788,453.233571179,498.893837906
0.258108299181,454.63914052,500.230465944
0.259099756431,456.054904711,501.576789242
0.260095022111,457.48087758,502.932818559
0.261094110851,458.917072515,504.298564256
0.262097037336,460.363502454,505.674036291
0.263103816307,461.820179877,507.059244214
0.264114462563,463.287116797,508.45419716
0.265128990959,464.764324753,509.858903841
0.266147416407,466.251814801,511.273372544
0.267169753877,467.749597507,512.697611116
0.268196018396,469.257682935,514.131626967
0.269226225049,470.776080644,515.575427056
0.270260388977,472.304799673,517.029017889
0.271298525383,473.843848538,518.492405508
0.272340649526,475.393235219,519.965595488
0.273386776722,476.952967155,521.448592929
0.27443692235,478.523051231,522.941402447
0.275491101845,480.103493775,524.444028169
0.276549330701,481.694300542,525.956473726
0.277611624474,483.295476712,527.478742247
0.278677998777,484.907026874,529.010836347
0.279748469286,486.528955023,530.552758126
0.280823051734,488.16126455,532.104509159
0.281901761917,489.803958228,533.666090487
0.28298461569,491.457038208,535.237502615
0.28407162897,493.120506009,536.818745499
0.285162817735,494.794362507,538.409818541
0.286258198023,496.478607926,540.010720584
0.287357785935,498.173241831,541.621449901
0.288461597634,499.878263117,543.24200419
0.289569649344,501.593669997,544.872380563
0.290681957353,503.319459999,546.512575547
0.291798538009,505.055629952,548.162585065
0.292919407725,506.802175976,549.822404437
0.294044582977,508.559093476,551.492028372
0.295174080302,510.32637713,553.171450955
0.296307916304,512.104020881,554.860665645
0.297446107648,513.892017927,556.559665265
0.298588671064,515.69036071,558.268441995
0.299735623345,517.49904091,559.986987365
0.300886981352,519.318049433,561.715292246
0.302042762007,521.147376401,563.453346844
0.303202982299,522.987011145,565.201140692
0.304367659282,524.836942195,566.958662643
0.305536810074,526.697157268,568.72590086
0.306710451861,528.567643261,570.502842811
0.307888601894,530.448386241,572.289475263
0.30907127749,532.339371438,574.085784268
0.310258496033,534.240583229,575.891755164
0.311450274973,536.152005136,577.707372561
0.312646631828,538.073619813,579.532620337
0.313847584184,540.005409037,581.367481627
0.315053149692,541.9473537,583.211938822
0.316263346072,543.899433798,585.065973555
0.317478191113,545.861628423,586.929566695
